rol	facultad	edad	dispositivos	uso	plus	p1	p2	p3	p4	p5
Profesor	Facultad de Ciencias Exactas y Naturales	45-54 años	Teléfono móvil,	4	No	A tool with great benefits	order my ideas	In generating personal opinions	I have not yet used in university applications, I have only used to organize personal ideas.	It helps me organize work effectively
Profesor	Facultad de Medicina	35-44 años	Computadora,	3	No	It is a tool that provides brief and founded information on particular issues, It seems very useful for clearing simple and complex doubts.	When I have doubts about unknown issues for me, since I am offered the possibility of accessing the sources from which he obtained the information in order to deepen a topic.	To make content summarized briefly.	I have carried out the activities (forums, tasks) assigned to the students using chatgpt to identify the quality of responses issued artificial intelligence, evidencing that it is quite complicated to differentiate an answer made by chatgpt or the student. In that context it becomes essential to have tools that detect the use of AI.	Being a teacher in virtual environments, in inverted classroom modality, The evaluation is carried out on the assigned activities/tasks, which can be run quickly in chatgpt.
Profesor	Facultad de Ciencias Humanas	35-44 años	Computadora,	1	No	In my opinion it must be regulated. For now you could take advantage of its use and even suggest training to teachers to guide students and take advantage of it.	To access specific academic bibliography	The GPT chat does not prospect	Positive when you know how to take advantage of it	Not having clear parameters in the U becomes a tool that motivates plagiarism and discourages its own production.
Profesor	Facultad de Ciencias Administrativas y Contables	55-64 años	Computadora,	4	No	It is a tool that must be used with caution and additional validation	Resolution of problems, definitions and scientific concepts	decision making	You can get information and concepts quickly	The research universe has been expanded and an effort must be made to use new and various knowledge
Profesor	Facultad de Medicina	45-54 años	ninguno,	1	No	I don't know her	I don't know her	I don't know her	I don't know her	I don't know her
Profesor	Facultad de Comunicación, Lingüística y Literatura	45-54 años	Computadora,	5	No	useful	Write texts in English, review the information, summarize.	Work review	useful	shorten times
Profesor	Facultad de Ciencias Humanas	55-64 años	Computadora,	7	No	Useful	Investigation	Analysis of data	There are people without profession, without knowledge, without very bold studies that are used.	The information, knowledge and technological advances of the human being are on the web, we will have to teach their best use.
Profesor	Facultad de Ingeniería	55-64 años	Computadora,	9	Si	"24/7 available tool (payment option).
Process information collected until 2021 and generates contextual content in natural language.
It is necessary to polish the way of asking"	"Classes preparation
Preparation of exercises and practices
Multiple choice banks elaboration
Search for didactic and bibliographic material
"	"Summarize documents
Qualify tasks
Feeding students
Implementation and adjustment to national contexts."	The same thing I put in numeral 8	"The change that is given to class methodology.
Chatgpt use by the student in class, in tasks, in exams
Change in evaluation at the comparative criteria of the student's responses regarding what Chatgpt says.
Stronger update for existing themes and technologies."
Estudiante	Facultad de Ciencias de la Educación	35-44 años	Teléfono móvil,Computadora,	6	No	MORE INFORMATION	I haven't used it yet	tasks	Every digital tool helps us	better comunication
Estudiante	Facultad de Ciencias de la Educación	35-44 años	Computadora,Ninguna ,	1	No	I have no experience, I have not used it	None	Does not apply	Does not apply	I do not know
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Computadora,Teléfono móvil,	6	No	It is a useful tool, gives concrete and direct answers to any consultation	Consultation of common things, from cooking recipes to treatments	Don't know	In the university I have not applied much	Good
Estudiante	Facultad de Ciencias Administrativas y Contables	45-54 años	Computadora,	1	No	I have not used it yet	In none	I still don't use it	none	No
Estudiante	Facultad de Medicina	25-34 años	Computadora,Teléfono móvil,	4	No	A useful, concise tool	In the daily newspaper	In the daily newspaper	Not used at the University	helps me improve knowledge
Profesor	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,Teléfono móvil,	9	Si	It is a useful tool that allows us to optimize time at work.	Evaluations creation, classes for classes, learning material, creation of articles	Being an artificial intelligence has not yet developed the ability to create updated content	The best experience of my life with a technological tool	Has generated a great impact on time optimization
Estudiante	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,Teléfono móvil,	5	No	It is very useful to improve writing and in rapid search for primary information or find ideas to start a paragraph	For paragraph writing, to correctly write objectives and goals. Find goals and activities appropriate to my projects.	For appointment search, there is information that provides that it is very doubtful and needs verification.	I use it mainly in trials, to improve my writing or look for ideas on how to start writing a document	Improving more than anything my way of writing and my productivity. When I am with obstacles in my writing it has been useful to get out of that problem and lower my frustration
Estudiante	Facultad de Ingeniería	25-34 años	Computadora,	8	Si	It is fast, helps improve writing, allows you to obtain information quickly in methodological issues compared to whether we seek source by source an answer. It has improved my productivity and allows you to correct code faster	"Deepening methodologies (terms)
Code correction
generation of examples with code
Improvement in writing"	I usually investigate that I recommend references on a subject. In the free version, references are invented.	Excellent, but you have to be careful because there are some errors that as students and professionals who know about the subject can take into account	It has influenced quickly and transformingly, since it requires us to be better and more at work, since with chatgpt to some extent another partner can do what one does. As an anecdote in the management of Arima models, in my particular case I studied each part of the models, but office colleagues despite not having studied them can apply because the tool allows it. The tool is generating a requirement in generating new skills, as well as we improve in terms of efficiency, everything progresses faster
Estudiante	Facultad de Ciencias Exactas y Naturales	45-54 años	Computadora,	3	No	It is a tool that can be very helpful in the development of science as long as it is used with ethics	In understanding some terms seen in classes and also to see didactic examples	Does not apply, I don't use it much	Does not apply, I don't use it much	I think that from virtuality new directions have been taken in the quality of education
Estudiante	Facultad de Psicología	25-34 años	Computadora,	3	No	It is the new Wikipedia of a few years ago, the information that shows quality lacks, for simple tasks it works very well.	Consult definitions on specific issues.	References are outdated	Regular I don't occupy much	As a tool that can serve to save time.
Estudiante	Facultad de Ciencias Administrativas y Contables	25-34 años	Computadora,	8	No	Quite useful as academic and professional support, it provides facilities both in my university life and in my professional life.	In the work to implement campaigns, search for success cases, helps with a greater understanding of academic texts and cases.	None, in any case, although not exact response the analysis and generalized understanding of something helps to solve problems.	Normal	Average, it does not affect too much just a Plis that can be used.
Estudiante	Facultad de Economía	25-34 años	Computadora,Teléfono móvil,	3	No	It is very useful	Difficult access information	Exact Sciences and Data	None	N/A
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Computadora,	3	No	Help certain things like fast definitions	In the consultation of definitions or synonyms usually for trials	In generation of concept maps	It is useful in a way	Help a little since it saves time, different than the Google engine
Estudiante	Facultad de Psicología	45-54 años	Teléfono móvil,Computadora,Tableta,	1	Si	confusing	none	none	I received emails from people I don't know or incomplete	confusing
Estudiante	Facultad de Ciencias Administrativas y Contables	35-44 años	Teléfono móvil,Computadora,	8	No	A very powerful tool to investigate and create value content however can be misused	"Entrepreneurship
Investigation"	So far none have all been useful according to my search	Very good	Excellent since I can investigate authors of some specific topic
Profesor	Facultad de Arquitectura, Diseño y Artes	35-44 años	Computadora,	5	No	Very useful tool for research, although outdated.	Information on the specific topics of the study program.	Graphic tasks	Interesting to see the potential in research issues	He has helped to save time.
Estudiante	Facultad de Ingeniería	35-44 años	Computadora,	7	Si	Very good contribution, helps me increase labor productivity	Programming, writing, text summary, methodologies	In critical context analysis	Little or void, Chatgpt came out when he had already graduated.	In a positive way, the interactions with AI have allowed me to increase my knowledge.
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,	1	No	Very useful	Writing	Pay	To make reports	None
Estudiante	Facultad de Medicina	25-34 años	Computadora,Teléfono móvil,	1	No	It doesn't come out as expected	The answer is incomplete	None	Bad	No
Profesor	Facultad de Arquitectura, Diseño y Artes	45-54 años	Computadora,Teléfono móvil,	4	No	Very interesting and full of expectations of the answers that can be generated.	Only exploratory	When it comes to writing professionally.	None	This cannot be defined yet
Profesor	Facultad de Psicología	25-34 años	Ninguno,	1	No	I have not used it	I have not used it	I have not used	None	I have difficulty identifying their use in students' jobs
Estudiante	Facultad de Ciencias de la Educación	35-44 años	Computadora,	9	No	Danger	Very useful	None	Very intimate	A lot
Estudiante	Facultad de Ciencias de la Educación	25-34 años	No utilizo ,	1	No	With the appropriate knowledge about using this tool, it could allow an improvement in the quality of knowledge understanding.	When explaining in a different way to my teaching method. Maybe I can otherwise teach my students who did not understand.	Wanting to understand a book. Summary does not allow to apprehend the living feeling narrated.	I have not used it at the moment.	I have not been influenced yet.
Profesor	Facultad de Comunicación, Lingüística y Literatura	45-54 años	Computadora,Teléfono móvil,	5	No	Useful to carry out several activities between them to write short texts, make summaries and review texts.	Abstracts, text reformulation, English spelling review.	appointments and bibliography. Returns false answers.	Useful for several tasks, a time savings.	Time savings and above all, reformulation of ideas in the language.
Estudiante	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,Teléfono móvil,	9	No	It helps me from writing better, until I explain what the Papers is about.	To explain to me and tell me if what I am putting is correct or not.	To help me with papers or appointments (bad quotes).	It helps me to understand and synthesize some things better	I have saved me time on basic things
Estudiante	Facultad de Ciencias Administrativas y Contables	25-34 años	Computadora,Teléfono móvil,	8	No	Excellent for office writings	At all times	In VBA programming	I have learned to deliver faster reports	Well, to reduce public sector work
Profesor	Facultad de Ciencias Administrativas y Contables	45-54 años	Computadora,	5	No	It is useful, if you know how to use it and take advantage of	Consultations, Exercise, Information Processing	I have given erroneous numerical results in statistical exercises	Consultations, Exercise, Information Processing	It is increasingly taking more importance.
Estudiante	Facultad de Ciencias de la Educación	35-44 años	Computadora,	5	No	Very useful as a study guide	In almost all academic tasks and situations	In matters of Ecuadorian legislation	OF MUCH HELP	Definitely artificial intelligence is to stay and we cannot stop observing their benefits and also the work they have as teachers to observe the ethical aspects that students should take into account.
Profesor	Facultad Internacional de Innovación PUCE – Icam	35-44 años	Computadora,Teléfono móvil,	3	No	You can save some time writing extensive materials	Letters, mails, writing of some long paragraphs	Preparation of innovative technical material	I use it for general writing, it is very useful to save writing time.	Positive, but for specific situations.
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Teléfono móvil,	1	No	They are good to have ideas	scientific articles and connectors	scientific articles and connectors	good	No
Estudiante	Facultad de Arquitectura, Diseño y Artes	45-54 años	Computadora,	5	No	Very useful as a support tool for formulation and structuring ideas, but the level of information is limited and cannot be considered as a reference for research work	Improvement in the dramatical writing and structuring of texts provided by me	When and deepened in research issues, there are specific issues corresponding to my career that the information provided by the tool is not adequate	It has helped me perfect the grammatical structure of my research work	I consider that it has helped me better communicate the ideas I propose in my research work
Estudiante	Facultad de Ciencias Administrativas y Contables	25-34 años	Computadora,	1	No	It is a great tool that can be beneficial if used intelligently	"Create generic texts
Ideas for elaborating essays"	Specific or Technical Topics	N/A	Makes life easier
Estudiante	Facultad de Comunicación, Lingüística y Literatura	25-34 años	Computadora,	8	No	It is very useful for obtaining instantaneous responses, it also shows several alternatives to the same question. It is also indispensable to write a good prompt to obtain the sought answer.	I usually use it for the writing of copys or advertising texts.	When I do not give a good specification and get contrary or remote answers from what I am looking for.	N/A	N/A
Estudiante	Facultad de Ciencias Administrativas y Contables	45-54 años	Computadora,	7	No	very useful	In tasks	none	very useful	In great importance
Profesor	Facultad de Medicina	55-64 años	Teléfono móvil,	2	No	It has great potential but as any tool is dangerous if it is used inappropriately or for negative purposes	Information processing for research	Although there are studies on their demonstration of empathy greater than that of human beings for me, it does not replace face-to-face relationships (social, teacher-study, doctor-patient)	The question is too general, I don't know what to answer ... Does it refer to an assessment of its use or in which activities I have used?	I still couldn't evaluate that ... For now it doesn't seem to have so much influence
Profesor	Facultad de Ciencias de la Educación	65 años o más	Computadora,	4	No	Excellent. Use bing chat, preferably.	Consultations on specific topics.	All good.	Good	It is very soon to assess its use. It looks promising. Safety measures will have to be taken for proper use as a valid source of information in the degree work. Avoid risks of academic crimes, plagiarism among them.
Estudiante	Facultad de Economía	17-24 años	Computadora,	1	No	It is useful as long as the responses of this tool are analyzed and not only is it an exercise to copy and paste answers or assume that they are correct instantly.	I haven't made consultations yet but I would like to use them to have python or R codes.	I consider that it would not be useful when only a general idea of ​​what we need is given.	I have not used at the university.	Positively.
Estudiante	Facultad de Arquitectura, Diseño y Artes	35-44 años	Computadora,	3	No	It is a tool that can give ideas, addressing, but it is not a reliable tool. It generates many fake sources, url non -existent. I think you even have to verify the ideas. For me it is a Google with less spam	Fast consultations such as concepts, links between topics, translations, and readings suggestions to expand specific issues	analysis of analysis, the chatgpt is very general and does not have the critical perspective	Summary of books, concept consultation, bibliographic suggestions on specific topics to expand concepts	It is something new, but at the moment I see it more than as a support tool. I consider that teachers and universities must innovate from the hand of this technology and not be afraid. Many teachers threaten to check if what is delivered is of chatgpt which it seems to me that it is to be typecast to the past and not modernize with what is happening in reality.
Profesor	Facultad de Ciencias de la Educación	55-64 años	Computadora,	5	No	AI and chatgpt is a very good tool to boost knowledge management processes.	Fast consultations that guide specific identification of knowledge dimensions.	On consultations on business or government data are these local, glocal or global.	I prefer to go to arbitrated sources and scientific rigor	Really none since I always intend to create knowledge with scientific support and from other sources.
Estudiante	Facultad de Medicina	25-34 años	Computadora,	7	No	Only this week I am testing it and I found it interesting, now I am seeing more tools that help me with my activities to develop	Answer for duties, and also in tests I tried it and gave me true answers .... I also tried forums	In graphs I still can't find what it is for	In my tasks of my work more	Decreased Searches
Personal Administrativo	Direcciones Administrativas	45-54 años	Computadora,	1	No	It is useful if you know how to use it	I have used it only for entertainment	I have used it only for entertainment	I have not used it at the university	I don't think it has influenced
Estudiante	Facultad de Ciencias Administrativas y Contables	25-34 años	Computadora,	8	No	It is a useful tool to find summarized concepts on different study topics.	When it comes to specific concepts or issues	Current economic situation	It contributes with different sources of information to expand the different investigations.	The main influence is to expand knowledge for the conciseness of information.
Estudiante	Facultad de Comunicación, Lingüística y Literatura	25-34 años	Computadora,	6	No	It is a tool that has put artificial intelligence as a writing assistant, so much so that it has the record of being the fastest growing digital tool in history. He has forced all technological giants to join the era of virtual attendees and the use of artificial intelligence to facilitate work.	It facilitates me a lot of content creation processes, text summary and writing improvements.	When you are requested specific information from local or political situations. Writing of academic texts, with APA quotes, for example. Nor does it write too long texts, they are usually about 300 - 400 words.	For university work I have used it as a producer of ideas that serve as a starting point to generate projects.	I think it allows me to save time in search of information but in general I believe that in my communication area, the personality that does not give chatgpt is very estimated. Giving our opinion and contextualizing the local level certain phenomena do not come (even) with this tool. However, I am excited to think how much artificial intelligence and the impact it will have on our lives in the near future will evolve.
Estudiante	Facultad de Ingeniería	35-44 años	Computadora,	3	No	It is an excellent support tool for the learning process.	I have used it as support on topics that I do not know, there are issues that teachers from different subjects fail to transmit their knowledge correctly so it is requested that illustrious with examples for a better understanding.	"I have tried it with several academic and work issues and being an AI has its failures, ""doubtful"" results, it does not have the absolute truth. I have consulted on data governance by changing certain small things and gives different results."	On a scale of 1 to 10, being 1 low, I would say that a 7 because it gives me guidelines or examples to understand what I am looking for.	It has influenced positively because it helps me in my learning process and work has taken me out of a couple of complicated medium cases.
Profesor	Facultad de Comunicación, Lingüística y Literatura	45-54 años	Computadora,	5	No	It is a useful tool. However, it usually commits many inaccuracies when it refers to cite academic works. Also, it can be easy temptation for students.	In research to collect information that takes me a long time.	In research of Ecuadorian literature and topics in Spanish in general. The database on our cultural field is very limited.	On the campus it doesn't work for me.	It is still very soon to evaluate.
Estudiante	Facultad de Medicina	35-44 años	Computadora,	1	No	I have not used it more than once so I cannot issue a comment that is useful	I can't issue a comment	I can't issue a comment	I can't issue a comment	I can't issue a comment
Estudiante	Facultad de Ciencias Filosófico – Teológicas	35-44 años	Teléfono móvil,	1	No	I don't use it	I don't use it	In order to have their own rationality and criteria	None	No
Estudiante	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,	1	No	I have not used it	I have not tried it	I have not tried it	I have not tried it	I have not tried it
Personal Administrativo	Facultad de Jurisprudencia	25-34 años	Computadora,	7	No	It is a useful tool, but since Bard was released to the public I am using the Google service.	For labor and personal issues.	In academic issues.	Quite positive because we have Internet access.	I consider that it has supported me at work at the university.
Estudiante	Facultad de Ingeniería	25-34 años	Computadora,	6	No	It is good but sometimes it contradicts	When information is needed	When information is needed	Good	Improve consultations
Estudiante	Facultad de Ingeniería	25-34 años	Computadora,Teléfono móvil,	9	No	Useful, facilitating tool for workloads	Repetitive tasks, summarizations	Complicated issues	Excellent	Has influenced positively, serving as a tool for the development of work
Profesor	Facultad de Enfermería	35-44 años	Computadora,	3	No	It is useful	comparison of bibliographies and documentation	When the question formulates well	I have not used it	allows to improve research
Estudiante	Facultad de Ingeniería	45-54 años	Computadora,	9	No	very good for research and have a starting point for elaboration of trials	research, answer questionnaire questions,	in very specific issues where it implies calculations and application of formulas	good	Help in the speed of information search
Profesor	Facultad de Comunicación, Lingüística y Literatura	25-34 años	Computadora,	9	No	It is a work tool that speeds up processes.	In projects, in improving writing and then obviously you have to verify the data.	In the writing of chronicles.	We are learning to use.	Positively.
Estudiante	Facultad de Psicología	25-34 años	Computadora,	5	No	It is useful	Academic tasks	Intervention or diagnosis	Very good	Positively
Estudiante	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,Teléfono móvil,Tableta,	2	No	It is an excellent tool that gives us ideas to clarify the opinion	For trades	When they are current responses	Excellent has given me the help to specify ideas	The few times I've used helped me to specify ideas
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,Tableta,	3	No	It is afraid of the ability to respond.	Just investigate out of curiosity	None .... All situations are possible	I have not used for the university but for my personal life	It will influence a lot
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,	1	No	My perspective is negative because it makes it easier for us to think.	I do not use it	I do not use it	I do not use it	I do not use it
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,Teléfono móvil,	7	No	That is a very useful tool, helps me write and verify the correct writing of what I do in work.	"Write communications
Verify writing"	Technical consultations, because authors are usually invented	Basic, we have not used it much in classroom	In work, an interesting experience, when working with students
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Computadora,Teléfono móvil,	3	No	"The tool is very useful as long as it is known. That is, if we are going to make consultations, it is much more precise than any more search engine if it is used to ""give it"" things would be to misuse and be falling into human obsolescence."	In historical consultations of events or events that do not have much relevant information and for inspiration method, in order to get out of the creative blockade.	You have to be very precise with the chat, since not with any order order gives you the answer you are looking for, although for that the chatgpt 4 already invented that according to the sources has all those solved problems.	Inspiration and information in detail.	In the most polished presentation of the works, especially research.
Estudiante	Facultad de Psicología	17-24 años	Teléfono móvil,Computadora,	4	No	It is very useful for saving time	Repetitive	Critical thinking	Relief	It has helped me focus on what I like most about subjects
Profesor	Facultad de Arquitectura, Diseño y Artes	25-34 años	Computadora,	1	No	It is a tool that we must learn to use, without letting us replace us.	Creation of topics or names for books	To prepare class or qualify and in my administrative activities	The use has been minimal	At the moment it has not influenced
Profesor	Facultad de Comunicación, Lingüística y Literatura	55-64 años	Computadora,Teléfono móvil,	4	No	Interesting, it requires work in the Prompts formulation and evaluating the result	GENERATION OF RUBRICS, PRESENTATIONS, SUMMARY, PROMOTIONAL TEXTS	Search for Academic Sources for Research	Motivated by curiosity, with diverse results: neither so good nor so bad	Save some time
Estudiante	Facultad de Ingeniería	35-44 años	Computadora,Teléfono móvil,	8	Si	It is a very useful assistant to solve many problems that are found daily in programming. The elaboration time of a project decreases.	At work when I have to do something that I do not know well, it is very useful.	Almost nothing, answer almost everything I ask. Of course you also have to verify because you have your failures	Useful for consultations	To influence very positively to learn more
Personal Administrativo	Direcciones Administrativas	45-54 años	Computadora,Teléfono móvil,	10	Si	Amazing	As labor assistant	In the biography of people	Excellent	Improve my productivity
Profesor	Facultad de Ingeniería	45-54 años	Computadora,Teléfono móvil,	5	No	It is a help tool.	Personal and professional.	Personal and professional.	Good	"Speeding up teachers and students.
"
Profesor	Facultad de Ingeniería	45-54 años	Computadora,	2	No	The tool is not reliable, I have asked some questions and I have seen errors that you have, of course you also have information that if it is reliable.	That I present proposed exercises, to be able to do in classes	On specific issues in the accounting area	In the proposal of exercises, if it helps me, but in the resolution it is not reliable.	Little I have used it, but you must always have the discernment of knowing what information is correct and which is not correct.
Profesor	Facultad de Economía	45-54 años	Computadora,Tableta,	6	No	It is a tool that provides information to the user expressed clearly, understandable and quickly.	Fast information about information.	Research, deep knowledge of some problem	Good as an information provider, threatening in terms of research generator because it does not discriminate relevant academic information of the one that is not.	At the moment none. To change the methods and forms of evaluation.
Profesor	Facultad de Enfermería	45-54 años	Computadora,	8	No	It is a useful tool that complements the information from various fields, being true responses on occasion and in others if they are non -real answers.	Consultation of general topics	Consultation of specific academic issues of my subject	Satisfactory	It has facilitates me on certain occasions to access information.
Estudiante	Facultad de Economía	35-44 años	Computadora,	3	No	It is a tool like everything in technological advance, very useful if used correctly	To correct writing, for consultual information consultation, for the use of formulas in Excel	Without opinion	I don't have much experience	It has not significantly influenced my work as a student
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,Teléfono móvil,Tableta,	5	No	Excellent facilitates several things	Report writing	Student Security Protection Activate	It is a tool that helped me for the use of reports	Very shocking since it has been possible to carry out complete processes of what is established by chatgpt
Estudiante	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,	6	No	It is a great tool as a job support	To teach	To perform tasks with long writing	I have not done it	In giving a change to the way of work
Personal Administrativo	Facultad de Ciencias Administrativas y Contables	17-24 años	Computadora,Teléfono móvil,	8	No	If used properly, it facilitates some communication processes	Team work	.	Regular	N/A
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,	8	No	It is a good tool to handle data and correction of paragraphs, as good as Excel in with the numbers.	In research.	Some data are printed	I have had a good experience since it has helped me correct my writings	It helps me with language. It helps me in the syntax.
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	5	No	Help at key moments	In writing	Task resolution	I do not know	How support source
Personal Administrativo	Facultad de Ciencias Administrativas y Contables	35-44 años	no uso,	1	No	na	na	na	na	na
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,	3	No	It is practical since it gives guidelines to carry out projects, jobs.	In the case of my work to generate a project.	.	In college I have not used	Positively, since it has facilitated and reduced the working time that it previously dedicated to the projects.
Estudiante	Facultad de Ciencias Administrativas y Contables	45-54 años	Computadora,	3	No	It is a very interesting language tool	For writing	Physics and/or mathematics	Good	Greater Consultation Field
Estudiante	Facultad de Ciencias de la Educación	25-34 años	Computadora,	8	No	It is very useful	In the presentation of absurdly long works sent by teachers	When tasks are planned and not only meaningless proposals	Very good	It allows me to speed up works and solve problems of all kinds
Estudiante	Facultad de Psicología	17-24 años	Computadora,	1	No	It will idiotize future generations, and even the current ones.	Investigation	Make essays	I do not use chat gpt	I do not use chat gpt
Profesor	Facultad de Enfermería	55-64 años	Computadora,	3	No	It is important to know how to use as a consultation and analysis file, in order to extract the most important and that should be the objective when using the chatgpt	When I need some updates of concepts and classes	In the clinical cases to solve, since there the critical analysis plays an important role to know what decision to make.	I think I am not very user to use the chatgpt, because if I like to review the new articles that have scientific evidence.	He has made students review important bibliography of scientific evidence and limit themselves to copying what the chat throws to their consultation, many times they do not even read what the chat sends them and that is very critical.
Estudiante	Facultad de Psicología	17-24 años	Computadora,	4	No	Quite useful	For research	infographics, summaries, test tasks	Good	Avoid searching for several sources, the information summarizes me
Estudiante	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,Teléfono móvil,Tableta,	1	No	I know little	LABOR	Research and paraphrase	BIT	YEAH
Profesor	Facultad de Ciencias Filosófico – Teológicas	35-44 años	Computadora,	2	No	More power than what so far I have been able to take advantage of	Formulate exam questions, articulate class plans	Create original thoughts or ideas, production of academic texts	Very positive, but also with risks. Plus the artificial becomes intelligent, the natural risks making gross	At the moment little, but with adequate training the educator's work can revolutionize
Estudiante	Facultad de Medicina	35-44 años	Computadora,	1	No	I DO NOT USE	I DO NOT USE	I DO NOT USE	N/A	N/A
Profesor	Facultad de Comunicación, Lingüística y Literatura	65 años o más	Computadora,Teléfono móvil,	7	No	I think it is an absolutely remarkable tool.	In preparing guidelines, structures, looking for answers, summarizing.	In matters that require Google, especially the most current.	I have not used it for teacher activities in the PUCE.	Not until now.
Estudiante	Facultad de Arquitectura, Diseño y Artes	17-24 años	Computadora,	8	No	It is a tool that provides great possibilities of exploration and support in the generation of content.	When looking for inspiration or a starting point at the time of writing scripts, copys, or conceptualizing designs. Even to summarize and organize own ideas that are part of the design conceptualization process.	In basic research situations	At the moment I have not used chatgpt for the university	In the workplace, it has helped me generate the basis to conceptualize or generate creative texts, it is a good starting point and is similar to a personal assistant.
Profesor	Facultad de Ciencias de la Educación	45-54 años	Computadora,	4	No	There must be a rational use of the tool	In research and access to information	In specific analysis answers	good	I still do not have a general impression to issue a criterion regarding the influence on the teaching work within the university
Estudiante	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,Teléfono móvil,Tableta,	4	No	quite useful to obtain quick answers	To structure ideas, or jobs	graphics	acceptable	I'm barely knowing him and learning to use it
Profesor	Facultad de Medicina	45-54 años	no uso,	1	No	I haven't used it yet	does not apply	does not apply	does not apply	does not apply
Estudiante	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,	2	No	It is a very help tool for consultations of all kinds	In summaries, bibliographies	-	I have used very little but in the few times it has helped me	-
Estudiante	Facultad de Psicología	25-34 años	Teléfono móvil,	1	No	In some issues it can be useful, but I know they lose learning opportunities by facilitating the search and synthesis process	None	Suggestions	I do not use it	Mediocrity has increased by using the minimum effort to perform school tasks
Estudiante	Facultad de Ingeniería	25-34 años	Teléfono móvil,	3	No	I think it could be useful in the sense that it helps to find information, however most of the time this information is not entirely reliable. Something that seems worrying is the security it transmits when answering the questions a user asked and the supposedly successful arguments he delivers, even if the answers given are wrong.	To find information about some topic or search for consultation related to this topic.	When using graphs or wanting to generate graphics	Not quite good, it is still an application that needs to improve	It has not yet had any influence in the workplace and there has been little influence on the educational part, it seems useful to seek bibliography.
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Teléfono móvil,	1	No	I have not used it but I know it is an app with artificial intelligence that helps answer questions and interact with the user	I still do not use it but if the case I would ask about information that you need at that time	To answer questions and not look directly	I have not used it for academic use	As a search tool
Estudiante	Facultad de Ciencias Administrativas y Contables	17-24 años	Computadora,	7	No	it is very useful	In exercises that I no longer understand your explanation helps me to understand	When I definitely do not understand the tasks	very good	very little
Estudiante	Facultad de Ciencias Administrativas y Contables	45-54 años	Computadora,	4	No	It is a useful tool when learned to use	Tasks sent	Specific topics questions	It is very helpful to get summaries	It expedite the work, however, a previous review must always be carried out
Profesor	Facultad de Ciencias Filosófico – Teológicas	45-54 años	Computadora,Teléfono móvil,	6	No	It must be used with a lot of responsibility	Research work	Preparation of personal opinion tasks	Very little	Low
Estudiante	Facultad de Ingeniería	35-44 años	Computadora,	5	No	Do not convince me	Messenger service	Speed	Investigation	Knowledge
Estudiante	Facultad de Comunicación, Lingüística y Literatura	25-34 años	Computadora,	1	No	It seems to me that it is very useful and everything depends on the end that is given	The interaction I have had has been curious	I have not had it	I have not used in academic terms	Has not influenced because I have not used it for that purpose
Estudiante	Facultad de Ingeniería	35-44 años	Teléfono móvil,	5	No	It is a tool that is evolving that can help improve areas of study	It must be perfected to get the most out of engineering	For engineering issues you still have to learn	Evolving tool	He has not contributed
Estudiante	Facultad de Economía	17-24 años	Computadora,Teléfono móvil,	8	No	It is very useful, for all areas	Reports, essays, letters, requests, requests, etc.	When you ask you to structure a speech that you will say, it is very artificial, you can take ideas that you give you, but you must make settings to the speech before saying it	It is useful when you are very busy	Facilitates some tasks and subtract stress
Profesor	Facultad de Ciencias Administrativas y Contables	55-64 años	Computadora,Tableta,	3	No	Of much help	To have work or topics references	Analysis	Good, I contributed organized information	Interesting has allowed saving time
Profesor	Facultad de Enfermería	35-44 años	Computadora,	4	No	It is a very useful tool that facilitates research.	Nursing care	In negative activities	very good	positively in the workplace
Estudiante	Facultad de Ciencias de la Educación	45-54 años	Computadora,Tableta,	1	No	It is a tool that is created people who do not develop their analysis or critical thinking.	I do not agree with its use, but they use it in trials	I do not use	I do not use	To have people who depend on a tool and not perform tasks with criteria.
Estudiante	Facultad de Ingeniería	35-44 años	Computadora,	9	No	It is a useful tool, guides you in the answers and gives you preambles of the information you are looking for, that associated with the interaction with chatgpt	"Quickly answers
In summaries

"	"In exercises, reasoning is not so reliable
In updated internet knowledge questions"	It is faster than looking in any library	If it's a great tool
